customer_id,channel,acquisition_date,cac,active_months
1,google,2023-04-03,729.05,9
2,referral,2023-05-10,283.18,1
3,coupon_site,2023-01-21,388.12,1
4,organic,2023-05-14,164.95,8
5,referral,2023-05-04,302.96,2
6,google,2023-03-04,1070.35,7
7,organic,2023-01-01,226.61,2
8,coupon_site,2023-01-29,334.91,1
9,referral,2023-03-16,313.11,1
10,instagram,2023-02-21,1017.75,9
11,organic,2023-01-03,210.91,11
12,google,2023-06-27,1129.33,12
13,coupon_site,2023-04-22,304.35,2
14,instagram,2023-06-10,853.01,5
15,referral,2023-03-02,349.83,5
16,instagram,2023-06-10,1068.18,1
17,instagram,2023-06-02,951.63,12
18,instagram,2023-04-04,1229.26,8
19,coupon_site,2023-02-08,363.11,1
20,google,2023-05-18,967.96,4
21,google,2023-06-10,981.8,1
22,google,2023-04-25,782.2,1
23,google,2023-05-20,1147.61,11
24,organic,2023-06-23,224.12,1
25,coupon_site,2023-05-21,377.25,1
26,instagram,2023-02-16,1293.17,9
27,coupon_site,2023-06-10,378.69,1
28,referral,2023-04-19,279.62,3
29,instagram,2023-06-11,1182.87,12
30,google,2023-04-16,1095.68,12
31,instagram,2023-04-05,1128.22,9
32,instagram,2023-01-28,1105.62,4
33,coupon_site,2023-01-15,305.17,2
34,coupon_site,2023-01-25,493.73,1
35,referral,2023-05-01,294.82,1
36,instagram,2023-03-07,1254.72,12
37,organic,2023-03-03,251.53,8
38,organic,2023-05-23,196.59,5
39,organic,2023-05-23,209.3,4
40,referral,2023-04-07,393.47,10
41,coupon_site,2023-01-15,471.35,1
42,referral,2023-02-07,292.74,3
43,instagram,2023-02-10,1506.41,4
44,google,2023-06-11,1125.97,5
45,coupon_site,2023-06-29,380.54,4
46,instagram,2023-06-28,991.13,12
47,google,2023-04-24,898.39,8
48,coupon_site,2023-03-28,514.94,3
49,organic,2023-03-29,226.67,12
50,coupon_site,2023-05-08,323.71,1
51,coupon_site,2023-02-03,413.0,2
52,instagram,2023-06-22,1443.44,4
53,instagram,2023-03-22,1197.38,7
54,google,2023-02-13,1066.01,12
55,coupon_site,2023-02-28,517.04,5
56,referral,2023-01-14,270.31,9
57,organic,2023-04-26,241.35,3
58,coupon_site,2023-05-06,380.2,1
59,referral,2023-05-03,454.57,3
60,instagram,2023-01-03,1434.87,12
61,google,2023-05-04,831.25,1
62,google,2023-04-08,923.64,11
63,coupon_site,2023-03-18,401.79,1
64,google,2023-03-01,726.93,8
65,google,2023-06-09,1046.02,6
66,google,2023-03-25,844.7,1
67,coupon_site,2023-06-21,287.81,5
68,google,2023-03-13,880.88,6
69,coupon_site,2023-03-25,361.47,3
70,coupon_site,2023-02-10,319.36,1
71,instagram,2023-05-30,1079.27,6
72,coupon_site,2023-02-19,488.09,1
73,instagram,2023-01-18,1294.72,10
74,referral,2023-03-07,425.18,1
75,coupon_site,2023-02-18,482.6,3
76,instagram,2023-02-28,1067.63,5
77,instagram,2023-02-19,1540.63,6
78,organic,2023-02-16,208.47,1
79,google,2023-02-18,924.67,3
80,coupon_site,2023-06-23,400.11,1
81,instagram,2023-05-23,1015.31,12
82,google,2023-03-30,912.14,1
83,instagram,2023-05-21,1273.16,12
84,organic,2023-06-10,166.01,1
85,organic,2023-01-24,155.41,1
86,coupon_site,2023-02-13,357.84,1
87,instagram,2023-01-05,1370.77,11
88,google,2023-03-16,1075.65,1
89,instagram,2023-01-20,1252.59,12
90,referral,2023-01-20,337.3,1
91,instagram,2023-01-04,1295.9,2
92,google,2023-06-04,853.63,10
93,coupon_site,2023-03-06,357.64,3
94,google,2023-04-27,893.65,1
95,coupon_site,2023-03-20,493.45,1
96,instagram,2023-03-28,1355.75,1
97,coupon_site,2023-01-28,365.16,1
98,referral,2023-06-27,247.19,2
99,referral,2023-01-10,412.73,2
100,google,2023-05-21,749.37,12
101,instagram,2023-02-13,1367.62,6
102,referral,2023-04-11,271.19,3
103,organic,2023-03-21,167.05,12
104,instagram,2023-03-04,998.84,7
105,coupon_site,2023-03-11,431.48,1
106,instagram,2023-03-27,1028.43,2
107,referral,2023-03-23,275.44,9
108,instagram,2023-01-28,1360.43,1
109,instagram,2023-05-15,1467.94,6
110,organic,2023-04-23,143.26,1
111,coupon_site,2023-04-17,355.16,3
112,google,2023-06-05,1106.24,3
113,organic,2023-06-11,165.17,4
114,referral,2023-03-28,261.19,2
115,google,2023-02-15,878.59,11
116,organic,2023-01-28,142.16,12
117,instagram,2023-03-03,1412.1,1
118,organic,2023-05-12,221.17,1
119,google,2023-03-25,741.78,4
120,google,2023-05-06,780.02,10
121,organic,2023-06-02,216.37,1
122,instagram,2023-02-20,1497.57,7
123,coupon_site,2023-01-28,372.97,3
124,google,2023-06-05,942.8,8
125,coupon_site,2023-06-14,493.62,1
126,coupon_site,2023-06-20,372.61,3
127,coupon_site,2023-01-31,445.19,1
128,google,2023-06-04,742.79,12
129,coupon_site,2023-05-06,373.48,1
130,google,2023-02-20,725.67,4
131,instagram,2023-01-05,1182.39,6
132,coupon_site,2023-06-28,494.67,1
133,instagram,2023-06-24,1291.15,12
134,organic,2023-02-11,215.91,10
135,instagram,2023-06-11,1412.05,9
136,organic,2023-04-30,188.61,12
137,coupon_site,2023-02-03,312.12,1
